ID,Date,Time,Rating,Day,Neighborhood,Lat,Long,CrimeDetail,CrimeType,Address
90081041,1/6/09,15:30:00,640,Tue,Downtown,-84.38554,33.7602,Larceny-From Vehicle,Larceny,207 Peachtree Center Ave Ne
90061420,1/6/09,13:30:00,640,Tue,Downtown,-84.38589,33.76289,Larceny-From Vehicle,Larceny,303 Peachtree Center Ave Ne
90061869,1/6/09,8:30:00,720,Tue,Downtown,-84.3861,33.75714,Auto Theft,Auto Theft,Peachtree Center Ave Ne / John Wesley Dobbs Ave Ne
90130465,1/6/09,15:00:00,640,Unk,Downtown,-84.38675,33.76215,Larceny-From Vehicle,Larceny,17 Baker
90060941,1/6/09,8:00:00,640,Tue,Downtown,-84.38992,33.7573,Larceny-From Vehicle,Larceny,100 Luckie St Nw
90062145,1/6/09,17:30:00,710,Tue,Downtown,-84.39458,33.76463,Auto Theft,Auto Theft,Ivan Allen Jr Blvd Nw / Mcafee St Nw
90062226,1/6/09,19:00:00,640,Tue,Downtown,-84.39458,33.76533,Larceny-From Vehicle,Larceny,Mills St Nw / Mcafee St Nw
90150980,1/6/09,12:00:00,670,Unk,Downtown,-84.39568,33.76206,Larceny-Non Vehicle,Larceny,275 Baker St Nw
90062035,1/6/09,21:14:00,311,Tue,Downtown,-84.39611,33.76665,Robbery-Pedestrian,Robbery,Luckie St Nw / Hunnicutt St Nw
90071834,1/7/09,11:30:00,650,Wed,Downtown,-84.38223,33.7571,Larceny-From Vehicle,Larceny,160 John Wesly Dobbs Ave Ne
90120748,1/7/09,20:00:00,670,Thu,Downtown,-84.38835,33.76056,Larceny-Non Vehicle,Larceny,240 Peachtree St Nw
90071006,1/7/09,9:00:00,690,Wed,Downtown,-84.38837,33.75943,Larceny-Non Vehicle,Larceny,210 Peachtree St Nw
90071163,1/7/09,13:00:00,670,Wed,Downtown,-84.3893,33.75738,Larceny-Non Vehicle,Larceny,89 Luckie St Nw
90071153,1/7/09,13:20:00,630,Wed,Downtown,-84.391,33.75281,Larceny-Non Vehicle,Larceny,96 Lower Alabama Street Sw
