offense_id,occur_date,occur_time,MinOfucr,Shift,Avg Day,UC2 Literal,neighborhood,x,y
90160068,1/16/09,0:30:00,341,Morn,Fri,ROBBERY-PEDESTRIAN,Midtown,-84.38942,33.77133
90160203,1/16/09,2:47:00,511,Morn,Fri,BURGLARY-RESIDENCE,Midtown,-84.36757,33.77521
90160933,1/16/09,8:30:00,720,Day,Fri,AUTO THEFT,Midtown,-84.38671,33.77837
90161405,1/16/09,13:00:00,640,Day,Fri,LARCENY-FROM VEHICLE,Midtown,-84.38963,33.77694
90170134,1/17/09,1:25:00,311,Morn,Sat,ROBBERY-PEDESTRIAN,Midtown,-84.37985,33.77317
90170257,1/17/09,2:55:00,690,Morn,Sat,LARCENY-NON VEHICLE,Midtown,-84.38508,33.77152
90170700,1/17/09,11:00:00,720,Day,Sat,AUTO THEFT,Midtown,-84.38122,33.77833
90170783,1/16/09,2:37:00,690,Morn,Fri,LARCENY-NON VEHICLE,Midtown,-84.38272,33.78
90181071,1/18/09,14:00:00,640,Eve,Sun,LARCENY-FROM VEHICLE,Midtown,-84.3676,33.77973
90181575,1/18/09,23:00:00,512,Morn,Sun,BURGLARY-NONRES,Midtown,-84.38685,33.77888
90181591,1/18/09,23:15:00,311,Morn,Sun,ROBBERY-PEDESTRIAN,Midtown,-84.37941,33.78179
90190090,1/18/09,17:00:00,511,Eve,Sun,BURGLARY-RESIDENCE,Midtown,-84.37926,33.78268
90190661,1/19/09,9:00:00,640,Day,Mon,LARCENY-FROM VEHICLE,Midtown,-84.38824,33.78562
90190975,1/19/09,15:30:00,640,Eve,Mon,LARCENY-FROM VEHICLE,Midtown,-84.38482,33.77756
90191246,1/19/09,6:50:00,512,Morn,Mon,BURGLARY-NONRES,Midtown,-84.38453,33.77615
90200525,1/19/09,23:00:00,710,Morn,Tue,AUTO THEFT,Midtown,-84.3786,33.77593
90200747,1/20/09,9:27:00,512,Day,Tue,BURGLARY-NONRES,Midtown,-84.38139,33.78663
90200841,1/19/09,8:00:00,720,Day,Mon,AUTO THEFT,Midtown,-84.38723,33.773
90201000,1/20/09,13:55:00,620,Day,Tue,LARCENY-NON VEHICLE,Midtown,-84.37088,33.77367
90201773,1/20/09,22:00:00,640,Eve,Tue,LARCENY-FROM VEHICLE,Midtown,-84.36869,33.78174
90210356,1/21/09,4:00:00,730,Morn,Wed,AUTO THEFT,Midtown,-84.38008,33.77547
90210422,1/20/09,19:00:00,640,Morn,Wed,LARCENY-FROM VEHICLE,Midtown,-84.3833,33.77965
90210460,1/11/09,20:00:00,650,Morn,Mon,LARCENY-FROM VEHICLE,Midtown,-84.38246,33.78083
90211243,1/21/09,15:20:00,630,Eve,Wed,LARCENY-NON VEHICLE,Midtown,-84.38752,33.7805
90211653,1/21/09,18:45:00,630,Eve,Wed,LARCENY-NON VEHICLE,Midtown,-84.36651,33.77351
90211686,1/20/09,11:30:00,640,Unk,Tue,LARCENY-FROM VEHICLE,Midtown,-84.38923,33.78045
90211798,1/21/09,14:00:00,720,Eve,Wed,AUTO THEFT,Midtown,-84.38556,33.77234
90211983,1/21/09,22:20:00,331,Eve,Wed,ROBBERY-PEDESTRIAN,Midtown,-84.37814,33.77213
90220020,1/21/09,23:00:00,670,Morn,Wed,LARCENY-NON VEHICLE,Midtown,-84.37896,33.77133
90220084,1/22/09,0:30:00,640,Morn,Thu,LARCENY-FROM VEHICLE,Midtown,-84.37867,33.78218
90220273,1/22/09,5:23:00,640,Morn,Thu,LARCENY-FROM VEHICLE,Midtown,-84.37105,33.77836
90221436,1/22/09,16:49:00,341,Eve,Thu,ROBBERY-PEDESTRIAN,Midtown,-84.37583,33.77445
90230441,1/22/09,18:30:00,690,Morn,Fri,LARCENY-NON VEHICLE,Midtown,-84.37383,33.77438
90230643,1/19/09,3:00:00,670,Morn,Mon,LARCENY-NON VEHICLE,Midtown,-84.38882,33.77511
90231060,1/23/09,11:45:00,640,Day,Fri,LARCENY-FROM VEHICLE,Midtown,-84.36561,33.77469
90231213,10/21/08,10:00:00,670,Unk,Unk,LARCENY-NON VEHICLE,Midtown,-84.38812,33.78971
90231475,12/22/08,12:00:00,670,Unk,Unk,LARCENY-NON VEHICLE,Midtown,-84.39164,33.79874
90240377,1/23/09,20:00:00,640,Morn,Fri,LARCENY-FROM VEHICLE,Midtown,-84.38835,33.79214
90240422,1/24/09,3:00:00,720,Morn,Sat,AUTO THEFT,Midtown,-84.38307,33.78152
90240444,1/24/09,4:20:00,341,Morn,Sat,ROBBERY-PEDESTRIAN,Midtown,-84.38477,33.77368
90240794,1/24/09,11:00:00,630,Day,Sat,LARCENY-NON VEHICLE,Midtown,-84.36561,33.77469
90240823,1/24/09,3:00:00,640,Day,Sat,LARCENY-FROM VEHICLE,Midtown,-84.37139,33.7751
90241046,1/24/09,2:30:00,341,Morn,Sat,ROBBERY-PEDESTRIAN,Midtown,-84.38118,33.77503
90241432,1/23/09,22:00:00,730,Unk,Sat,AUTO THEFT,Midtown,-84.37997,33.78639
90241591,1/24/09,18:50:00,710,Eve,Sat,AUTO THEFT,Midtown,-84.36561,33.77469
90241604,1/24/09,18:40:00,650,Eve,Sat,LARCENY-FROM VEHICLE,Midtown,-84.36561,33.77469
90250085,1/25/09,0:45:00,512,Morn,Sun,BURGLARY-NONRES,Midtown,-84.36862,33.78157
90250446,1/25/09,2:00:00,690,Morn,Sun,LARCENY-NON VEHICLE,Midtown,-84.38922,33.77425
90250645,1/24/09,18:30:00,512,Unk,Sun,BURGLARY-NONRES,Midtown,-84.38026,33.77258
90250702,1/25/09,11:20:00,512,Day,Sun,BURGLARY-NONRES,Midtown,-84.38911,33.78536
90250762,1/24/09,21:30:00,640,Eve,Sat,LARCENY-FROM VEHICLE,Midtown,-84.38047,33.78178
90250800,1/25/09,2:30:00,640,Day,Sun,LARCENY-FROM VEHICLE,Midtown,-84.37607,33.77352
90250814,1/24/09,21:30:00,710,Morn,Sun,AUTO THEFT,Midtown,-84.37963,33.77791
