ID,Date,Time,Rating,Day,Neighborhood,Lat,Long,CrimeDetail,CrimeType,Address
90130511,1/12/09,15:30:00,640,Tue,Midtown,-84.38382,33.77248,Larceny-From Vehicle,Larceny,116 Ponce De Leon Ave Ne
90121128,1/12/09,6:45:00,640,Mon,Midtown,-84.3879,33.78837,Larceny-From Vehicle,Larceny,1250 W Peachtree
90131890,1/13/09,19:00:00,640,Tue,Midtown,-84.37897,33.78384,Larceny-From Vehicle,Larceny,1073 Piedmont Ave Ne @Piedmont Park
90140199,1/13/09,22:00:00,640,Wed,Midtown,-84.37924,33.77362,Larceny-From Vehicle,Larceny,696 Penn Ave Ne
90132103,1/13/09,20:00:00,640,Tue,Midtown,-84.38139,33.78663,Larceny-From Vehicle,Larceny,188 14Th St Ne
90131967,1/13/09,20:30:00,720,Tue,Midtown,-84.38497,33.7727,Auto Theft,Auto Theft,660 Peachtree St Ne
90141795,1/14/09,18:45:00,640,Wed,Midtown,-84.37869,33.77206,Larceny-From Vehicle,Larceny,265 Ponce De Leon Ave Ne
90141873,1/14/09,20:15:00,630,Wed,Midtown,-84.38032,33.78188,Larceny-Non Vehicle,Larceny,595 Piedmont Ave Ne
90140219,1/14/09,5:20:00,620,Wed,Midtown,-84.38744,33.78642,Larceny-Non Vehicle,Larceny,1163 W Peachtree St Ne
90150398,1/15/09,0:00:00,511,Thu,Midtown,-84.37965,33.77569,Burglary-Residence,Burglary,771 Myrtle St Ne
90151076,1/15/09,11:00:00,640,Thu,Midtown,-84.38022,33.78202,Larceny-From Vehicle,Larceny,1001 Piedmont Ave Ne
90160203,1/16/09,2:47:00,511,Fri,Midtown,-84.36757,33.77521,Burglary-Residence,Burglary,587 Saint Charles Ave Ne
90170783,1/16/09,2:37:00,690,Fri,Midtown,-84.38272,33.78,Larceny-Non Vehicle,Larceny,930 Juniper St. Ne.
90160933,1/16/09,8:30:00,720,Fri,Midtown,-84.38671,33.77837,Auto Theft,Auto Theft,875 West Peachtree St.
90160068,1/16/09,0:30:00,341,Fri,Midtown,-84.38942,33.77133,Robbery-Pedestrian,Robbery,61 North Ave Nw
90161405,1/16/09,13:00:00,640,Fri,Midtown,-84.38963,33.77694,Larceny-From Vehicle,Larceny,75 5Th St Nw
90170134,1/17/09,1:25:00,311,Sat,Midtown,-84.37985,33.77317,Robbery-Pedestrian,Robbery,675 Myrtle St Ne
90170700,1/17/09,11:00:00,720,Sat,Midtown,-84.38122,33.77833,Auto Theft,Auto Theft,Piedmont Ave Ne / 7Th St Ne
90170257,1/17/09,2:55:00,690,Sat,Midtown,-84.38508,33.77152,Larceny-Non Vehicle,Larceny,620 Peachtree St Ne
90181071,1/18/09,14:00:00,640,Sun,Midtown,-84.3676,33.77973,Larceny-From Vehicle,Larceny,931 Monroe Dr Ne
90190090,1/18/09,17:00:00,511,Sun,Midtown,-84.37926,33.78268,Burglary-Residence,Burglary,250 11Th St Ne
90181591,1/18/09,23:15:00,311,Sun,Midtown,-84.37941,33.78179,Robbery-Pedestrian,Robbery,10Th At Myrtle
90181575,1/18/09,23:00:00,512,Sun,Midtown,-84.38685,33.77888,Burglary-Nonres,Burglary,887 W Peachtree St Ne
90200525,1/19/09,23:00:00,710,Tue,Midtown,-84.3786,33.77593,Auto Theft,Auto Theft,779 Penn Ave Ne
90191246,1/19/09,6:50:00,512,Mon,Midtown,-84.38453,33.77615,Burglary-Nonres,Burglary,800 Peachtree St
90190975,1/19/09,15:30:00,640,Mon,Midtown,-84.38482,33.77756,Larceny-From Vehicle,Larceny,842 Peachtree St Ne
90200841,1/19/09,8:00:00,720,Mon,Midtown,-84.38723,33.773,Auto Theft,Auto Theft,675 W Peachtree St Ne
90190661,1/19/09,9:00:00,640,Mon,Midtown,-84.38824,33.78562,Larceny-From Vehicle,Larceny,50 - 13Th St Nw
90230643,1/19/09,3:00:00,670,Mon,Midtown,-84.38882,33.77511,Larceny-Non Vehicle,Larceny,76 4Th St.
90201773,1/20/09,22:00:00,640,Tue,Midtown,-84.36869,33.78174,Larceny-From Vehicle,Larceny,931 Monroe Drive.
90201000,1/20/09,13:55:00,620,Tue,Midtown,-84.37088,33.77367,Larceny-Non Vehicle,Larceny,461 Ponce De Leon Ave
90200747,1/20/09,9:27:00,512,Tue,Midtown,-84.38139,33.78663,Burglary-Nonres,Burglary,188 14Th St
90210422,1/20/09,19:00:00,640,Wed,Midtown,-84.3833,33.77965,Larceny-From Vehicle,Larceny,923 Peachtree St Ne
90211686,1/20/09,11:30:00,640,Tue,Midtown,-84.38923,33.78045,Larceny-From Vehicle,Larceny,44 Peachtree Pl Nw
90211653,1/21/09,18:45:00,630,Wed,Midtown,-84.36651,33.77351,Larceny-Non Vehicle,Larceny,650 Ponce De Leon Ave Ne
90211983,1/21/09,22:20:00,331,Wed,Midtown,-84.37814,33.77213,Robbery-Pedestrian,Robbery,295 Ponce De Leon Ave Ne
90220020,1/21/09,23:00:00,670,Wed,Midtown,-84.37896,33.77133,Larceny-Non Vehicle,Larceny,254 North Ave Ne
90210356,1/21/09,4:00:00,730,Wed,Midtown,-84.38008,33.77547,Auto Theft,Auto Theft,770 Myrtle St Ne
90211798,1/21/09,14:00:00,720,Wed,Midtown,-84.38556,33.77234,Auto Theft,Auto Theft,62 Ponce De Leon Ave Ne
90211243,1/21/09,15:20:00,630,Wed,Midtown,-84.38752,33.7805,Larceny-Non Vehicle,Larceny,950 W Peachtree St Ne
90220273,1/22/09,5:23:00,640,Thu,Midtown,-84.37105,33.77836,Larceny-From Vehicle,Larceny,873 Vedado Way Ne
90230441,1/22/09,18:30:00,690,Fri,Midtown,-84.37383,33.77438,Larceny-Non Vehicle,Larceny,417 4Th St
90221436,1/22/09,16:49:00,341,Thu,Midtown,-84.37583,33.77445,Robbery-Pedestrian,Robbery,Durant Pl Ne / 4Th St Ne
90220084,1/22/09,0:30:00,640,Thu,Midtown,-84.37867,33.78218,Larceny-From Vehicle,Larceny,250 10Th St Ne
90231060,1/23/09,11:45:00,640,Fri,Midtown,-84.36561,33.77469,Larceny-From Vehicle,Larceny,650 Ponce De Leon Ave Ne
90241432,1/23/09,22:00:00,730,Sat,Midtown,-84.37997,33.78639,Auto Theft,Auto Theft,209 14Th St Ne
90281019,1/23/09,18:00:00,670,Unk,Midtown,-84.38298,33.78099,Larceny-Non Vehicle,Larceny,999 Peachtree St Ne
90251053,1/23/09,8:00:00,521,Unk,Midtown,-84.38752,33.7805,Burglary-Residence,Burglary,950 W Peachtree St Nw
90240377,1/23/09,20:00:00,640,Fri,Midtown,-84.38835,33.79214,Larceny-From Vehicle,Larceny,1374 W Peachtree St Nw
90241591,1/24/09,18:50:00,710,Sat,Midtown,-84.36561,33.77469,Auto Theft,Auto Theft,650 Ponce De Leon
90241604,1/24/09,18:40:00,650,Sat,Midtown,-84.36561,33.77469,Larceny-From Vehicle,Larceny,650 Ponce De Leon
90240794,1/24/09,11:00:00,630,Sat,Midtown,-84.36561,33.77469,Larceny-Non Vehicle,Larceny,650 Ponce De Leon Ave Ne
90240823,1/24/09,3:00:00,640,Sat,Midtown,-84.37139,33.7751,Larceny-From Vehicle,Larceny,750 Monroe Dr Ne
90450636,1/24/09,12:00:00,521,Unk,Midtown,-84.37617,33.77688,Burglary-Residence,Burglary,819 Glendale Ter Ne
90250814,1/24/09,21:30:00,710,Sun,Midtown,-84.37963,33.77791,Auto Theft,Auto Theft,857 Myrtle St Ne
90250645,1/24/09,18:30:00,512,Sun,Midtown,-84.38026,33.77258,Burglary-Nonres,Burglary,212 Ponce De Leon Ave Ne
90250762,1/24/09,21:30:00,640,Sat,Midtown,-84.38047,33.78178,Larceny-From Vehicle,Larceny,1001 Piedmont Ave
90241046,1/24/09,2:30:00,341,Sat,Midtown,-84.38118,33.77503,Robbery-Pedestrian,Robbery,751 Piedmont Ave Ne
90290630,1/24/09,9:00:00,660,Unk,Midtown,-84.3821,33.78465,Larceny-Non Vehicle,Larceny,1101 Juniper St
90240422,1/24/09,3:00:00,720,Sat,Midtown,-84.38307,33.78152,Auto Theft,Auto Theft,125 10Th St Ne
90240444,1/24/09,4:20:00,341,Sat,Midtown,-84.38477,33.77368,Robbery-Pedestrian,Robbery,710 Peachtree Street
90240204003,1/24/09,1:50:00,110,Sat,Midtown,-84.3896,33.78741,Homicide,Homicide,1200 Spring St Nw
90250085,1/25/09,0:45:00,512,Sun,Midtown,-84.36862,33.78157,Burglary-Nonres,Burglary,985 Monroe Dr Ne
